id,tags,quote,author
286499,"['humor', 'vampires']","Darius held Stark back from launching himself at Neferet, and Duantia spoke quickly into the rising tension. 'Neferet, I think we can all agree that there are many unanswered questions about the tragedy that occured on our island today. Stark, we also understand the passion and rage you feel at the loss of your Priestess. it is a hard blow for a Warrior to-'Duantia's wisdom was cut off by the sound of Aretha Franklin belting out the chorus from """"Respect,"""" which was coming from the little Coach purse Aphrodite had slung over her shoulder.Oopsie, um, sorry 'bout that.' Aphrodite frantically unzipped her purse and dug for her iPhone.","P.C. Cast, Burned"
295910,"['humanity', 'love', 'serve', 'service']","Serving others is the surest and practical way of channeling your love. There is no love through lip service. If you love humanity, serve…","Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership"
208920,"['evolution', 'growth', 'life']","There is no steady unretracing progress in this life; we do not advance through fixed gradations, and at the last one pause: - through infancy's unconscious spell, boyhood's thoughtless faith, adolescence' doubt (the common doom). and then scepticism, then disbelief, resting at last in manhood's pondering repose of If.","Herman Melville, Moby-Dick or, The Whale"
398141,"['character', 'personality']",f I try to be like him  who will be like me,Yiddish proverb
376767,"['creating-happiness', 'happiness', 'speech']",o speak of happiness is to create happiness,Marty Rubin
245601,"['destruction', 'envy', 'hate']",ate and envy are like a bomb that cannot destroy anything without first destroying itself,Magnus Nwagu Amudi
403191,['friend'],riends are relatives you make for yourself,Eustache Deschamps
129333,"['a-sophisticated-person', 'being-sophisticated', 'edmond-mbiaka', 'mind', 'sophistication']",ophistication is a thing of the mind not of worldly appearance,
385647,"['attention', 'expression', 'fuck', 'fucking']","Oh, fucking expression, attention and impression!(Dexter)",Deyth Banger
345531,"['destruction', 'hero', 'hero-with-a-1000-faces', 'hero-with-a-thousand-faces', 'heroism', 'joseph-campbell', 'life']","The hero, the waker of his own soul, is himself but the convenient means of his own dissolution.","Joseph Campbell, The Hero With a Thousand Faces"
255508,"['cosmic-music', 'hyperspace', 'mind-of-god', 'universe']","The universe is a symphony of strings. And the """"Mind of God,"""" which Einstein wrote eloquently about, is cosmic music resonating throughout hyperspace.",Michio Kaku
185898,"['adolescent-unit', 'amanda', 'cried', 'cries', 'cry', 'crying', 'dark', 'hospital-ward', 'jason-medina', 'kings-park', 'kings-park-psychiatric-center', 'kings-park-state-hospital', 'kppc', 'kpsh', 'loneliness', 'lonely', 'sad', 'sadness', 'sleep', 'sleepy', 'teenage-girls']","For a while she cried silently until she tired herself out and the overwhelming feeling of sleepiness overcame her. The room around her was fairly silent, although she wasn’t the only one crying herself to sleep. It was quite common at places like this to hear cries in the dark. There were so many saddened and lonesome souls around her. It was usually at night when they were reminded of just how sad and lonely they actually were.","Jason Medina, No Hope for the Hopeless at Kings Park"
444424,"['Good', 'Health', 'Mind']","Calm mind brings inner strength and self-confidence, so that's very important for good health.",Dalai Lama
33280,"['beggar', 'dreams', 'excuse', 'food-for-thought', 'imaginations', 'israelmore-ayivor', 'personal-development', 'potentials', 'quotes', 'work-hard']",here is no excuse to give for being a beggar. We all have imaginations to work out our dreams. Work yours out,"Israelmore Ayivor, 101 Keys To Everyday Passion"
45281,"['catholic-church', 'catholic-church-today', 'pope-francis', 'religion', 'the-new-mass']","Now, celebrations become tiring because they unfold in noisy chattering. The liturgy is sick. The most striking symptom of this sickness is perhaps the omnipresence of the microphone. It has become so indispensable that one wonders how priests were able to celebrate before it was invented.","Robert Sarah, The Power of Silence: Against the Dictatorship of Noise"
141170,"['arousal', 'response', 'seduction', 'sex']","Sex was a practiced art to him. Each move calculated. His brain always worked while he performed, his body seducing his prey with ease, noting each response of his target. But in one moment, everything had changed. She swept him into a tidal wave of pure sensation, and he willingly let go and let her take him with her.","Christine Feehan, Water Bound"
